number,values_0,values_1,datetime_start,datetime_complete,duration,params_cluster_selection_epsilon,params_min_cluster_size,params_min_dist,params_min_samples,params_n_components,params_n_neighbors,user_attrs_ccc_score,user_attrs_dbcv_score,user_attrs_n_clusters,user_attrs_outlier_ratio,system_attrs_NSGAIISampler:generation,state
0,0.0,0.18559021401486864,2025-12-22 19:33:44.291858,2025-12-22 19:33:53.110316,0 days 00:00:08.818458,0.02,27,0.21,19,6,4,0.0,0.18559021401486864,2,0.018407960199004977,0,COMPLETE
1,0.0,0.0749195372067271,2025-12-22 19:33:53.111950,2025-12-22 19:34:03.460243,0 days 00:00:10.348293,0.11,7,0.13,16,3,29,0.0,0.0749195372067271,2,0.0024875621890547263,0,COMPLETE
2,0.5048492381458858,0.4473800532614568,2025-12-22 19:34:03.461990,2025-12-22 19:34:14.282728,0 days 00:00:10.820738,0.2,9,0.15,5,5,34,0.5048492381458858,0.4473800532614568,59,0.32935323383084575,0,COMPLETE
3,0.0,0.3811650556636976,2025-12-22 19:34:14.284346,2025-12-22 19:34:24.578156,0 days 00:00:10.293810,0.15,12,0.27,20,9,16,0.0,0.3811650556636976,2,0.016417910447761194,0,COMPLETE
4,0.6615692198325055,0.45587889612521737,2025-12-22 19:34:24.579683,2025-12-22 19:34:34.955836,0 days 00:00:10.376153,0.15,45,0.16,20,11,19,0.6615692198325055,0.45587889612521737,9,0.4154228855721393,0,COMPLETE
5,0.0,0.20961226614456432,2025-12-22 19:34:34.957272,2025-12-22 19:34:44.571861,0 days 00:00:09.614589,0.07,20,0.14,7,2,16,0.0,0.20961226614456432,2,0.0024875621890547263,0,COMPLETE
6,0.4408734121922265,0.46815374442170105,2025-12-22 19:34:44.573756,2025-12-22 19:34:55.345499,0 days 00:00:10.771743,0.07,15,0.16,16,5,44,0.4408734121922265,0.46815374442170105,23,0.4099502487562189,0,COMPLETE
7,0.6011493492725489,-0.26343372388858033,2025-12-22 19:34:55.347406,2025-12-22 19:35:05.969405,0 days 00:00:10.621999,0.27,35,0.07,2,3,49,0.6011493492725489,-0.26343372388858033,7,0.1383084577114428,0,COMPLETE
8,0.7153180981838287,0.2580960340375874,2025-12-22 19:35:05.971346,2025-12-22 19:35:15.343439,0 days 00:00:09.372093,0.21,31,0.03,17,15,5,0.7153180981838287,0.2580960340375874,12,0.1,0,COMPLETE
9,0.5000866339256793,0.5270623144907954,2025-12-22 19:35:15.345217,2025-12-22 19:35:26.886626,0 days 00:00:11.541409,0.27,7,0.16,8,13,30,0.5000866339256793,0.5270623144907954,49,0.3338308457711443,0,COMPLETE
10,0.536450637869346,0.42628884877810036,2025-12-22 19:35:26.888398,2025-12-22 19:35:36.737676,0 days 00:00:09.849278,0.13,13,0.13,14,4,20,0.536450637869346,0.42628884877810036,29,0.33432835820895523,0,COMPLETE
