number,values_0,values_1,datetime_start,datetime_complete,duration,params_cluster_selection_epsilon,params_min_cluster_size,params_min_dist,params_min_samples,params_n_components,params_n_neighbors,user_attrs_ccc_score,user_attrs_dbcv_score,user_attrs_n_clusters,user_attrs_outlier_ratio,system_attrs_NSGAIISampler:generation,state
0,0.5229477740854445,0.5006954176258589,2025-12-22 19:35:36.852208,2025-12-22 19:35:55.056691,0 days 00:00:18.204483,0.23,28,0.22,17,14,42,0.5229477740854445,0.5006954176258589,13,0.36517412935323385,0,COMPLETE
1,0.0,-0.4558774357934434,2025-12-22 19:35:55.058261,2025-12-22 19:36:05.322750,0 days 00:00:10.264489,0.27,38,0.2,2,2,42,0.0,-0.4558774357934434,2,0.026865671641791045,0,COMPLETE
2,0.0,0.45531165298433485,2025-12-22 19:36:05.324867,2025-12-22 19:36:15.839822,0 days 00:00:10.514955,0.09,21,0.21,17,12,17,0.0,0.45531165298433485,2,0.0,0,COMPLETE
3,0.5541940043320613,0.26108480267696993,2025-12-22 19:36:15.841630,2025-12-22 19:36:25.831557,0 days 00:00:09.989927,0.13,38,0.29,17,3,34,0.5541940043320613,0.26108480267696993,11,0.4243781094527363,0,COMPLETE
4,0.6668327420057855,0.03944930463116496,2025-12-22 19:36:25.833088,2025-12-22 19:36:36.448418,0 days 00:00:10.615330,0.24,44,0.03,2,8,34,0.6668327420057855,0.03944930463116496,12,0.12985074626865672,0,COMPLETE
5,0.5134429566486632,0.2582753228550994,2025-12-22 19:36:36.450362,2025-12-22 19:36:47.126800,0 days 00:00:10.676438,0.12,24,0.26,3,8,33,0.5134429566486632,0.2582753228550994,27,0.27761194029850744,0,COMPLETE
6,0.5919192972647154,0.08251946198557131,2025-12-22 19:36:47.128705,2025-12-22 19:36:56.955335,0 days 00:00:09.826630,0.29,31,0.08,4,3,26,0.5919192972647154,0.08251946198557131,14,0.20597014925373133,0,COMPLETE
7,0.5555764975053009,0.18803082590433004,2025-12-22 19:36:56.957253,2025-12-22 19:37:06.982263,0 days 00:00:10.025010,0.18,31,0.06,5,6,21,0.5555764975053009,0.18803082590433004,16,0.16218905472636816,0,COMPLETE
8,0.6626211970288176,0.055878257341617,2025-12-22 19:37:06.984222,2025-12-22 19:37:18.356259,0 days 00:00:11.372037,0.24,44,0.24,2,15,25,0.6626211970288176,0.055878257341617,11,0.21343283582089553,0,COMPLETE
9,0.5666865672488719,0.1049835412691129,2025-12-22 19:37:18.357658,2025-12-22 19:37:29.311476,0 days 00:00:10.953818,0.06,42,0.18,7,6,49,0.5666865672488719,0.1049835412691129,8,0.2054726368159204,0,COMPLETE
10,0.0,0.38559030011643314,2025-12-22 19:37:29.313207,2025-12-22 19:37:39.509536,0 days 00:00:10.196329,0.17,20,0.06,13,8,18,0.0,0.38559030011643314,2,0.0,0,COMPLETE
11,0.0,0.11339354971686397,2025-12-22 19:37:39.510969,2025-12-22 19:37:50.263911,0 days 00:00:10.752942,0.0,21,0.14,17,5,38,0.0,0.11339354971686397,2,0.007462686567164179,0,COMPLETE
12,0.5618006819037334,0.28930289433046186,2025-12-22 19:37:50.265834,2025-12-22 19:38:00.016769,0 days 00:00:09.750935,0.07,25,0.23,10,5,18,0.5618006819037334,0.28930289433046186,20,0.3358208955223881,0,COMPLETE
13,0.48765767397926174,0.3858392693085851,2025-12-22 19:38:00.018096,2025-12-22 19:38:11.799633,0 days 00:00:11.781537,0.11,5,0.19,2,12,24,0.48765767397926174,0.3858392693085851,124,0.19701492537313434,0,COMPLETE
14,0.5354661691224221,0.5591076901347867,2025-12-22 19:38:11.801317,2025-12-22 19:38:21.645480,0 days 00:00:09.844163,0.08,3,0.21,15,4,24,0.5354661691224221,0.5591076901347867,35,0.4507462686567164,0,COMPLETE
15,0.6042046822811801,0.2830228976724522,2025-12-22 19:38:21.647323,2025-12-22 19:38:32.047667,0 days 00:00:10.400344,0.22,46,0.05,6,3,48,0.6042046822811801,0.2830228976724522,13,0.2865671641791045,0,COMPLETE
16,0.8269448086205721,-0.21283075950423694,2025-12-22 19:38:32.049456,2025-12-22 19:38:42.102865,0 days 00:00:10.053409,0.22,14,0.06,14,2,31,0.8269448086205721,-0.21283075950423694,3,0.0,0,COMPLETE
17,0.5015312935891324,0.36320278545840323,2025-12-22 19:38:42.104841,2025-12-22 19:38:52.305179,0 days 00:00:10.200338,0.26,12,0.23,5,6,23,0.5015312935891324,0.36320278545840323,42,0.32985074626865674,0,COMPLETE
18,0.0,-0.2665048897112595,2025-12-22 19:38:52.307000,2025-12-22 19:39:03.118933,0 days 00:00:10.811933,0.13,21,0.28,10,4,48,0.0,-0.2665048897112595,2,0.0024875621890547263,0,COMPLETE
19,0.7276306510625382,0.3672567615186126,2025-12-22 19:39:03.120363,2025-12-22 19:39:13.029574,0 days 00:00:09.909211,0.11,47,0.2,11,6,22,0.7276306510625382,0.3672567615186126,10,0.3328358208955224,0,COMPLETE
20,0.9962341298325342,-0.5883825625199656,2025-12-22 19:39:13.030997,2025-12-22 19:39:21.633512,0 days 00:00:08.602515,0.03,20,0.26,18,7,3,0.9962341298325342,-0.5883825625199656,3,0.08009950248756219,0,COMPLETE
21,0.0,0.31096901887685197,2025-12-22 19:39:21.635349,2025-12-22 19:39:32.640381,0 days 00:00:11.005032,0.04,23,0.03,17,14,19,0.0,0.31096901887685197,2,0.0,0,COMPLETE
22,0.0,0.39399602700748737,2025-12-22 19:39:32.642191,2025-12-22 19:39:44.000987,0 days 00:00:11.358796,0.24,23,0.12,3,14,25,0.0,0.39399602700748737,2,0.0,0,COMPLETE
23,0.5580071750737543,0.22705969678410032,2025-12-22 19:39:44.002940,2025-12-22 19:39:54.557871,0 days 00:00:10.554931,0.16,27,0.16,7,8,34,0.5580071750737543,0.22705969678410032,17,0.2562189054726368,0,COMPLETE
24,0.6237101683228657,0.4297656211065318,2025-12-22 19:39:54.559487,2025-12-22 19:40:04.253979,0 days 00:00:09.694492,0.05,38,0.09,9,7,14,0.6237101683228657,0.4297656211065318,16,0.30398009950248756,0,COMPLETE
25,0.8269448086205721,0.6198184527308173,2025-12-22 19:40:04.255299,2025-12-22 19:40:14.804033,0 days 00:00:10.548734,0.21,2,0.18,12,11,18,0.8269448086205721,0.6198184527308173,3,0.0,0,COMPLETE
26,0.0,0.3756502150264349,2025-12-22 19:40:14.805373,2025-12-22 19:40:25.001249,0 days 00:00:10.195876,0.1,23,0.13,16,6,19,0.0,0.3756502150264349,2,0.00845771144278607,0,COMPLETE
27,0.0,0.4168959344350563,2025-12-22 19:40:25.002472,2025-12-22 19:40:35.041845,0 days 00:00:10.039373,0.18,22,0.14,18,5,19,0.0,0.4168959344350563,2,0.0,0,COMPLETE
28,0.5241008897737635,0.47644588090134754,2025-12-22 19:40:35.043679,2025-12-22 19:40:47.158979,0 days 00:00:12.115300,0.2,8,0.09,8,14,46,0.5241008897737635,0.47644588090134754,41,0.3024875621890547,0,COMPLETE
29,0.0,0.10672113244547,2025-12-22 19:40:47.160372,2025-12-22 19:40:57.029131,0 days 00:00:09.868759,0.09,19,0.27,9,8,13,0.0,0.10672113244547,2,0.012935323383084577,0,COMPLETE
30,0.0,-0.26588694244362754,2025-12-22 19:40:57.030972,2025-12-22 19:41:06.046916,0 days 00:00:09.015944,0.11,24,0.24,20,3,8,0.0,-0.26588694244362754,2,0.07562189054726368,0,COMPLETE
31,0.5739708680533809,0.06404944357140889,2025-12-22 19:41:06.048557,2025-12-22 19:41:16.561808,0 days 00:00:10.513251,0.22,38,0.14,1,6,33,0.5739708680533809,0.06404944357140889,15,0.26119402985074625,0,COMPLETE
32,0.49683006612235076,0.41527659598670374,2025-12-22 19:41:16.563054,2025-12-22 19:41:28.582559,0 days 00:00:12.019505,0.04,37,0.06,8,14,49,0.49683006612235076,0.41527659598670374,11,0.2512437810945274,0,COMPLETE
33,0.5509913784699382,0.2818559650735081,2025-12-22 19:41:28.584242,2025-12-22 19:41:38.369708,0 days 00:00:09.785466,0.22,35,0.04,4,7,14,0.5509913784699382,0.2818559650735081,21,0.20248756218905473,0,COMPLETE
34,0.8288747580619553,0.130336394484201,2025-12-22 19:41:38.371524,2025-12-22 19:41:49.324467,0 days 00:00:10.952943,0.12,28,0.23,12,8,47,0.8288747580619553,0.130336394484201,7,0.1880597014925373,0,COMPLETE
35,0.6058210839331477,0.2207635230508129,2025-12-22 19:41:49.325722,2025-12-22 19:41:58.304661,0 days 00:00:08.978939,0.19,47,0.27,16,3,11,0.6058210839331477,0.2207635230508129,12,0.41243781094527365,0,COMPLETE
36,0.6506261127947309,0.13549090778189662,2025-12-22 19:41:58.306025,2025-12-22 19:42:08.869118,0 days 00:00:10.563093,0.09,49,0.23,1,10,28,0.6506261127947309,0.13549090778189662,13,0.28059701492537314,0,COMPLETE
37,0.5761271244245975,0.1986989962983741,2025-12-22 19:42:08.870717,2025-12-22 19:42:19.333676,0 days 00:00:10.462959,0.17,34,0.22,6,8,31,0.5761271244245975,0.1986989962983741,12,0.2865671641791045,0,COMPLETE
38,0.5341428004990983,0.35383517281102495,2025-12-22 19:42:19.335146,2025-12-22 19:42:29.399319,0 days 00:00:10.064173,0.16,36,0.05,17,3,32,0.5341428004990983,0.35383517281102495,13,0.35522388059701493,0,COMPLETE
39,0.5717842193167653,0.45437183990853636,2025-12-22 19:42:29.401109,2025-12-22 19:42:39.592099,0 days 00:00:10.190990,0.2,26,0.06,6,14,12,0.5717842193167653,0.45437183990853636,25,0.17960199004975125,0,COMPLETE
40,0.0,0.3722088232351835,2025-12-22 19:42:39.593790,2025-12-22 19:42:48.937223,0 days 00:00:09.343433,0.2,33,0.09,20,5,9,0.0,0.3722088232351835,2,0.022885572139303482,0,COMPLETE
41,0.5358978275472829,0.44412342317464004,2025-12-22 19:42:48.938548,2025-12-22 19:42:58.514497,0 days 00:00:09.575949,0.19,42,0.23,16,9,12,0.5358978275472829,0.44412342317464004,9,0.31492537313432833,0,COMPLETE
42,0.0,0.19459486800532566,2025-12-22 19:42:58.516201,2025-12-22 19:43:08.857179,0 days 00:00:10.340978,0.07,17,0.09,17,4,28,0.0,0.19459486800532566,2,0.0024875621890547263,0,COMPLETE
