number,values_0,values_1,datetime_start,datetime_complete,duration,params_cluster_selection_epsilon,params_min_cluster_size,params_min_dist,params_min_samples,params_n_components,params_n_neighbors,user_attrs_ccc_score,user_attrs_dbcv_score,user_attrs_n_clusters,user_attrs_outlier_ratio,system_attrs_NSGAIISampler:generation,state
0,0.0,0.8657794485696572,2025-12-22 19:37:54.263051,2025-12-22 19:38:11.137953,0 days 00:00:16.874902,0.05,41,0.19,3,7,18,0.0,0.8657794485696572,2,0.0,0,COMPLETE
1,0.0,0.8385386708203247,2025-12-22 19:38:11.139397,2025-12-22 19:38:20.830485,0 days 00:00:09.691088,0.01,42,0.14,7,2,17,0.0,0.8385386708203247,2,0.0,0,COMPLETE
2,0.0,0.9333010088546118,2025-12-22 19:38:20.832546,2025-12-22 19:38:32.132921,0 days 00:00:11.300375,0.12,49,0.08,2,11,30,0.0,0.9333010088546118,2,0.0,0,COMPLETE
3,0.0,0.9356713888044967,2025-12-22 19:38:32.134287,2025-12-22 19:38:43.534845,0 days 00:00:11.400558,0.05,39,0.11,17,9,41,0.0,0.9356713888044967,2,0.0,0,COMPLETE
4,0.41577729911722056,0.43280753374745246,2025-12-22 19:38:43.536584,2025-12-22 19:38:54.600035,0 days 00:00:11.063451,0.09,5,0.2,2,8,17,0.41577729911722056,0.43280753374745246,114,0.1701492537313433,0,COMPLETE
5,0.4884920987248704,0.43228391409623673,2025-12-22 19:38:54.601531,2025-12-22 19:39:03.115698,0 days 00:00:08.514167,0.06,42,0.08,8,2,4,0.4884920987248704,0.43228391409623673,19,0.2870646766169154,0,COMPLETE
6,0.49344021468132293,0.5620662679798908,2025-12-22 19:39:03.117591,2025-12-22 19:39:13.728862,0 days 00:00:10.611271,0.13,7,0.18,6,10,17,0.49344021468132293,0.5620662679798908,62,0.2572139303482587,0,COMPLETE
7,0.0,0.9288973539992814,2025-12-22 19:39:13.730381,2025-12-22 19:39:25.319161,0 days 00:00:11.588780,0.24,27,0.15,19,15,21,0.0,0.9288973539992814,2,0.0,0,COMPLETE
8,0.0,0.9043432271117015,2025-12-22 19:39:25.320726,2025-12-22 19:39:35.692560,0 days 00:00:10.371834,0.24,18,0.29,3,14,10,0.0,0.9043432271117015,2,0.0,0,COMPLETE
9,0.0,0.924402453319039,2025-12-22 19:39:35.694640,2025-12-22 19:39:46.933743,0 days 00:00:11.239103,0.15,14,0.13,12,6,45,0.0,0.924402453319039,2,0.0,0,COMPLETE
10,0.0,0.9120787747822362,2025-12-22 19:39:46.934993,2025-12-22 19:39:57.541606,0 days 00:00:10.606613,0.08,45,0.25,3,15,11,0.0,0.9120787747822362,2,0.0,0,COMPLETE
11,0.0,0.8696550636546037,2025-12-22 19:39:57.542997,2025-12-22 19:40:07.826394,0 days 00:00:10.283397,0.22,30,0.07,13,11,12,0.0,0.8696550636546037,2,0.0,0,COMPLETE
12,0.0,0.9214493100889963,2025-12-22 19:40:07.828225,2025-12-22 19:40:17.952167,0 days 00:00:10.123942,0.18,44,0.07,17,4,19,0.0,0.9214493100889963,2,0.0,0,COMPLETE
13,0.4062332203327433,0.4612868148385734,2025-12-22 19:40:17.953420,2025-12-22 19:40:29.576275,0 days 00:00:11.622855,0.02,4,0.2,1,8,12,0.4062332203327433,0.4612868148385734,177,0.14228855721393036,0,COMPLETE
14,0.5518630494758067,0.44957832963367783,2025-12-22 19:40:29.577699,2025-12-22 19:40:39.177691,0 days 00:00:09.599992,0.02,35,0.02,13,6,11,0.5518630494758067,0.44957832963367783,17,0.17412935323383086,0,COMPLETE
15,0.0,0.6172745714739403,2025-12-22 19:40:39.179426,2025-12-22 19:40:48.768393,0 days 00:00:09.588967,0.19,45,0.23,13,2,15,0.0,0.6172745714739403,2,0.0,0,COMPLETE
16,0.5967375673761549,0.47672476222099114,2025-12-22 19:40:48.769664,2025-12-22 19:40:59.094071,0 days 00:00:10.324407,0.22,23,0.08,6,8,20,0.5967375673761549,0.47672476222099114,25,0.20845771144278608,0,COMPLETE
17,0.0,0.9200128311169226,2025-12-22 19:40:59.095456,2025-12-22 19:41:10.318553,0 days 00:00:11.223097,0.21,30,0.24,1,14,20,0.0,0.9200128311169226,2,0.0,0,COMPLETE
18,0.5603245957612385,0.5579983661128216,2025-12-22 19:41:10.320088,2025-12-22 19:41:22.321551,0 days 00:00:12.001463,0.11,15,0.02,10,14,39,0.5603245957612385,0.5579983661128216,30,0.25472636815920396,0,COMPLETE
19,0.0,0.9263569421495155,2025-12-22 19:41:22.323345,2025-12-22 19:41:33.291453,0 days 00:00:10.968108,0.06,19,0.04,12,4,48,0.0,0.9263569421495155,2,0.0,0,COMPLETE
20,0.0,0.9540132557823671,2025-12-22 19:41:33.293264,2025-12-22 19:41:44.708603,0 days 00:00:11.415339,0.04,6,0.03,12,10,38,0.0,0.9540132557823671,2,0.0,0,COMPLETE
21,0.0,0.8726739865699998,2025-12-22 19:41:44.709881,2025-12-22 19:41:54.802231,0 days 00:00:10.092350,0.02,24,0.3,5,15,7,0.0,0.8726739865699998,2,0.0,0,COMPLETE
22,0.0,0.9149145065446769,2025-12-22 19:41:54.803509,2025-12-22 19:42:04.999108,0 days 00:00:10.195599,0.12,35,0.14,16,10,13,0.0,0.9149145065446769,2,0.0,0,COMPLETE
23,0.6005565166797271,0.26228002204945433,2025-12-22 19:42:05.000682,2025-12-22 19:42:15.713865,0 days 00:00:10.713183,0.06,7,0.23,10,7,2,0.6005565166797271,0.26228002204945433,60,0.4761194029850746,0,COMPLETE
