number,values_0,values_1,datetime_start,datetime_complete,duration,params_cluster_selection_epsilon,params_min_cluster_size,params_min_dist,params_min_samples,params_n_components,params_n_neighbors,user_attrs_ccc_score,user_attrs_dbcv_score,user_attrs_n_clusters,user_attrs_outlier_ratio,system_attrs_NSGAIISampler:generation,state
0,0.7095179582375415,0.18460052253707745,2025-12-22 19:33:23.052038,2025-12-22 19:33:33.929302,0 days 00:00:10.877264,0.1,44,0.02,1,11,38,0.7095179582375415,0.18460052253707745,14,0.21840796019900496,0,COMPLETE
1,0.5090682860111985,0.3461837711390894,2025-12-22 19:33:33.931281,2025-12-22 19:33:43.187271,0 days 00:00:09.255990,0.26,45,0.0,5,10,8,0.5090682860111985,0.3461837711390894,20,0.20398009950248755,0,COMPLETE
2,0.6828093631559072,0.21007075689329957,2025-12-22 19:33:43.189230,2025-12-22 19:33:53.694016,0 days 00:00:10.504786,0.01,43,0.22,13,11,25,0.6828093631559072,0.21007075689329957,10,0.29950248756218906,0,COMPLETE
3,0.5645013842391405,0.27398797744166214,2025-12-22 19:33:53.695705,2025-12-22 19:34:04.784886,0 days 00:00:11.089181,0.26,23,0.1,1,11,42,0.5645013842391405,0.27398797744166214,30,0.1855721393034826,0,COMPLETE
4,0.0,0.03958129686881891,2025-12-22 19:34:04.786701,2025-12-22 19:34:14.413644,0 days 00:00:09.626943,0.03,32,0.04,14,2,24,0.0,0.03958129686881891,2,0.044278606965174126,0,COMPLETE
5,0.6442235885036709,0.370873687621316,2025-12-22 19:34:14.415509,2025-12-22 19:34:26.050336,0 days 00:00:11.634827,0.01,45,0.22,10,14,48,0.6442235885036709,0.370873687621316,11,0.3004975124378109,0,COMPLETE
6,0.37705320061028824,0.6571015449833463,2025-12-22 19:34:26.052113,2025-12-22 19:34:36.767623,0 days 00:00:10.715510,0.14,12,0.0,12,10,30,0.37705320061028824,0.6571015449833463,53,0.30895522388059704,0,COMPLETE
7,0.9366249027571225,0.30214152049958665,2025-12-22 19:34:36.769424,2025-12-22 19:34:46.574879,0 days 00:00:09.805455,0.15,50,0.14,5,8,14,0.9366249027571225,0.30214152049958665,3,0.07860696517412935,0,COMPLETE
8,0.582907491735777,0.5082633478606688,2025-12-22 19:34:46.576811,2025-12-22 19:34:57.210857,0 days 00:00:10.634046,0.29,23,0.15,9,12,26,0.582907491735777,0.5082633478606688,28,0.35771144278606964,0,COMPLETE
9,0.5567175644982406,0.16687146197747857,2025-12-22 19:34:57.212669,2025-12-22 19:35:07.664405,0 days 00:00:10.451736,0.2,27,0.3,1,7,31,0.5567175644982406,0.16687146197747857,25,0.3283582089552239,0,COMPLETE
10,0.48481118071073975,0.5609698508077449,2025-12-22 19:35:07.666208,2025-12-22 19:35:16.957484,0 days 00:00:09.291276,0.06,22,0.12,18,13,6,0.48481118071073975,0.5609698508077449,27,0.3373134328358209,0,COMPLETE
11,0.0,0.179010762548266,2025-12-22 19:35:16.959478,2025-12-22 19:35:28.310524,0 days 00:00:11.351046,0.3,30,0.15,14,12,38,0.0,0.179010762548266,2,0.01890547263681592,0,COMPLETE
12,0.37358369772011163,0.2008909561808017,2025-12-22 19:35:28.312364,2025-12-22 19:35:37.654548,0 days 00:00:09.342184,0.29,11,0.14,1,2,12,0.37358369772011163,0.2008909561808017,56,0.06417910447761194,0,COMPLETE
13,0.3973471088989137,0.5434214264984435,2025-12-22 19:35:37.656372,2025-12-22 19:35:48.092675,0 days 00:00:10.436303,0.13,18,0.03,9,12,19,0.3973471088989137,0.5434214264984435,38,0.20497512437810944,0,COMPLETE
14,0.5435041983365233,0.40823640081110907,2025-12-22 19:35:48.094600,2025-12-22 19:35:58.790405,0 days 00:00:10.695805,0.19,24,0.23,11,7,38,0.5435041983365233,0.40823640081110907,23,0.36666666666666664,0,COMPLETE
15,0.6447130325719805,0.1828582841114245,2025-12-22 19:35:58.792259,2025-12-22 19:36:08.894076,0 days 00:00:10.101817,0.1,46,0.27,3,12,16,0.6447130325719805,0.1828582841114245,12,0.2218905472636816,0,COMPLETE
16,0.4368616235741087,0.5224917956921505,2025-12-22 19:36:08.896183,2025-12-22 19:36:17.199507,0 days 00:00:08.303324,0.14,10,0.19,20,10,3,0.4368616235741087,0.5224917956921505,29,0.35522388059701493,0,COMPLETE
17,0.566597750359763,0.4628475604834819,2025-12-22 19:36:17.201455,2025-12-22 19:36:28.379113,0 days 00:00:11.177658,0.2,22,0.1,14,12,44,0.566597750359763,0.4628475604834819,21,0.3686567164179104,0,COMPLETE
18,0.45177032344629625,0.329701966714764,2025-12-22 19:36:28.380938,2025-12-22 19:36:40.475227,0 days 00:00:12.094289,0.27,22,0.02,1,15,48,0.45177032344629625,0.329701966714764,29,0.2263681592039801,0,COMPLETE
19,0.43604041143968686,0.5165072868360912,2025-12-22 19:36:40.477080,2025-12-22 19:36:50.703857,0 days 00:00:10.226777,0.01,12,0.3,9,8,23,0.43604041143968686,0.5165072868360912,53,0.3482587064676617,0,COMPLETE
